#Persistency p = 0.300000
#Number of sampled random angles: 10000000
#Angle	Relative weight
-3.142	0.006131
-3.016	0.006980
-2.890	0.007902
-2.765	0.008954
-2.639	0.009953
-2.513	0.011159
-2.388	0.012363
-2.262	0.013575
-2.136	0.015020
-2.011	0.016309
-1.885	0.017816
-1.759	0.019200
-1.634	0.020607
-1.508	0.022002
-1.382	0.023259
-1.257	0.024612
-1.131	0.025841
-1.005	0.026973
-0.880	0.028171
-0.754	0.028954
-0.628	0.029909
-0.503	0.030524
-0.377	0.031062
-0.251	0.031414
-0.126	0.031469
0.000	0.031409
0.126	0.031414
0.251	0.031035
0.377	0.030505
0.503	0.029734
0.628	0.029007
0.754	0.028090
0.880	0.026993
1.005	0.025896
1.131	0.024576
1.257	0.023294
1.382	0.021915
1.508	0.020588
1.634	0.019214
1.759	0.017763
1.885	0.016397
2.011	0.014952
2.136	0.013720
2.262	0.012383
2.388	0.011150
2.513	0.009976
2.639	0.008843
2.765	0.007888
2.890	0.006975
3.016	0.006124
3.142	0.000000
